snippet,sentiment,cleaned_snippet
"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances . 
",1,painful watch viewers willing take chance rewarded two years accomplished riveting film performances
"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border . 
",1,startling film gives fascinating albeit depressing view iranian rural life close iraqi border
"an imaginative comedy/thriller . 
",1,imaginative comedythriller
"a few artsy flourishes aside , narc is as gritty as a movie gets these days . 
",1,artsy flourishes aside narc gritty movie gets days
"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at . 
",1,isle preposterous thoroughly misogynistic vistas incredibly beautiful look
"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema . 
",1,together tok orchestrate buoyant darkly funny dance death process demonstrate theres still lot life hong kong cinema
"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . 
",1,director kapur filmmaker real flair epic landscapes adventure better film earlier englishlanguage movie overpraised elizabeth
"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes . 
",1,movie blast educational energy bouncy animation catchy songs escort entire 85 minutes
"a sports movie with action that's exciting on the field and a story you care about off it . 
",1,sports movie action thats exciting field story care
"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere . 
",1,doug liman director bourne directs traffic well gets nice wintry look locations absorbs us movies spycraft uses damons ability focused sincere
"the tenderness of the piece is still intact . 
",1,tenderness piece still intact
"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself
",1,katz uses archival footage horrifying documents lynchings still photographs charming old reeltoreel recordings meeropol entertaining children create song history powerful song
"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated . 
",1,like films almost anthropologically detailed realization early80s suburbia significant without overstated
"while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story . 
",1,mcfarlanes animation lifts film firmly level comingofage films also jarring hard get back boys story
"if nothing else , this movie introduces a promising , unusual kind of psychological horror . 
",1,nothing else movie introduces promising unusual kind psychological horror
"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography . 
",1,normal screen process bromides would barely enough sustain interstitial program discovery channel imax 3d clichés disappear vertiginous perspectives opened photography
"writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . 
",1,writerdirector burger imaginatively fans embers dormant national grief curiosity calcified chronic cynicism fear
" . . . a roller-coaster ride of a movie
",1,rollercoaster ride movie
"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory . 
",1,enjoyed time favor watching surprised quickly faded memory
"chicago is sophisticated , brash , sardonic , completely joyful in its execution . 
",1,chicago sophisticated brash sardonic completely joyful execution
"steve irwin's method is ernest hemmingway at accelerated speed and volume . 
",1,steve irwins method ernest hemmingway accelerated speed volume
"a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters . 
",1,refreshing korean film five female high school friends face uphill battle try take relationships deeper waters
"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique . 
",1,surface loversontherun crime flick lot common piesiewiczs kieslowskis earlier work films like double life veronique
"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure . 
",1,values held enterprise crew together previous adventures perils againcourage selfsacrifice patience pressure
"if it's possible for a sequel to outshine the original , then sl2 does just that . 
",1,possible sequel outshine original sl2
"a romantic comedy that operates by the rules of its own self-contained universe . 
",1,romantic comedy operates rules selfcontained universe
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . 
",1,4 friends 2 couples 2000 miles pabst blue ribbon beer drink ultimate redneck roadtrip
"the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm
",1,film often filled sense pure wonderment excitement often seen todays cinema du sarcasm
"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists . 
",1,might tempting regard mr andrew collaborators oddballs mr earnharts quizzical charming movie allows us see finally artists
"a feel-good picture in the best sense of the term . 
",1,feelgood picture best sense term
"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery . 
",1,edited shot syncopated style mimicking work subjects pray turns idea documentary head making rousing invigorating fun lacking mtv puffery
"a mostly intelligent , engrossing and psychologically resonant suspenser . 
",1,mostly intelligent engrossing psychologically resonant suspenser
"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self . 
",1,memoryasidentity obviation gives secret life intermittent unease reaffirming longheld illusions indeed reality erasing recasts self
"hip-hop has a history , and it's a metaphor for this love story . 
",1,hiphop history metaphor love story
"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level . 
",1,scope ambition accomplishment children century takes kurys career whole new level
"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . 
",1,may dramatic gutwrenching impact holocaust films compelling story mainly way told people
"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . 
",1,drama cube personal revelations regarding shop means big picture iconic characters gambol fluidly story charming results
"a gentle , compassionate drama about grief and healing . 
",1,gentle compassionate drama grief healing
"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes . 
",1,somewhere short tremors modern bscene neither funny clever though agreeably unpretentious way spend ninety minutes
"digital-video documentary about stand-up comedians is a great glimpse into a very different world . 
",1,digitalvideo documentary standup comedians great glimpse different world
"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity . 
",1,unlike teen flicks swimming takes time tell story casts mostly littleknown performers key roles introduces intriguing ambiguity
"an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . 
",1,enthralling playful film constantly frustrates desire know truth man deconstructing format biography manner derrida would doubtless give blessing
" "" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography . 
",1,extreme ops exceeds expectations good fun good action good acting good dialogue good pace good cinematography
"you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . 
",1,pay nine bucks hear suffering afghan refugees news still unaffected dramas like make human
"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences . 
",1,thunderous ride first quiet cadences pure finesse far shortage dilutes potency otherwise respectable action still flick fun host truly excellent sequences
"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world . 
",1,obviously struck responsive chord many south koreans work magic parts world
"run , don't walk , to see this barbed and bracing comedy on the big screen . 
",1,run dont walk see barbed bracing comedy big screen
"a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . 
",1,classy item legend may nothing left prove still chops drive show done
"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale . 
",1,nature progress fessendens horror trilogy theme proved important especially finale
"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru . 
",1,exactly gourmet meal fare fair even coming drivethru
"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space . 
",1,imax made strap pair 3d goggles shut real world take vicarious voyage last frontier space
"merely as a technical , logistical feat , russian ark marks a cinematic milestone . 
",1,merely technical logistical feat russian ark marks cinematic milestone
"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists . 
",1,schweiger talented terribly charismatic qualities essential movie stars social anarchists
"it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . 
",1,great deal sizzle little steak spectacular sizzle incarnation fizz infectious
"an original gem about an obsession with time . 
",1,original gem obsession time
"it will delight newcomers to the story and those who know it from bygone days . 
",1,delight newcomers story know bygone days
"gloriously goofy ( and gory ) midnight movie stuff . 
",1,gloriously goofy gory midnight movie stuff
"the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . 
",1,film overcomes regular minefield comingofage cliches potent doses honesty sensitivity
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . 
",1,senses havent dulled slasher films gorefests youre connoisseur psychological horror ticket
"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene . 
",1,minor comedy tries balance sweetness coarseness paints sad picture singles scene
"it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . 
",1,intensely personal yet unlike quills deftly shows us temper times
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten . 
",1,lofi special effects folks cobbled nemesis together indulge force humanity hardware way george lucas long forgotten
"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . 
",1,like mike doesnt win points originality succeed following feelgood formula winning style offering target audience urban kids welcome role models optimism
"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech . 
",1,hoot half great way american people see candidate like hes giving 15cent stump speech
"far from perfect , but its heart is in the right place . . . innocent and well-meaning . 
",1,far perfect heart right place innocent wellmeaning
"a sad , superior human comedy played out on the back roads of life . 
",1,sad superior human comedy played back roads life
"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality . 
",1,waydowntown means perfect film boasts huge charm factor smacks originality
"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy . 
",1,tim allen great role never hogs scenes fellow cast plenty laughs good lines everyone comedy
"more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent . 
",1,load enjoyable conanesque claptrap punishing specialeffects soul assaults mummy pictures represent
"enormously likable , partly because it is aware of its own grasp of the absurd . 
",1,enormously likable partly aware grasp absurd
"here's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . 
",1,heres british flick gleefully unconcerned plausibility yet determined entertain
"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh . 
",1,old story lively script sharp acting partially animated interludes make kiss seem minty fresh
"must be seen to be believed . 
",1,must seen believed
"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here . 
",1,ray liotta jason patric best work underwritten roles dont fooled nobody deserves prizes
"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true . 
",1,everything yvan charlotte everything yvans rambunctious jewish sister nonjew husband feels funny true
"sweet home alabama "" is what it is  a nice , harmless date film . . . 
",1,sweet home alabama nice harmless date film
"the year's happiest surprise , a movie that deals with a real subject in an always surprising way . 
",1,years happiest surprise movie deals real subject always surprising way
"fans of behan's work and of irish movies in general will be rewarded by borstal boy . 
",1,fans behans work irish movies general rewarded borstal boy
"its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser . 
",1,mysteries transparently obvious slowly paced thriller worth recommending two marvelous performances michael caine brendan fraser
"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . 
",1,film faithful one presumes books twin premises become backs parents idea age time fleeting precious commodity matter old
"stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens . 
",1,stephen earnharts homespun documentary mule skinner blues nothing love posse trailer park denizens
"a solidly seaworthy chiller . 
",1,solidly seaworthy chiller
"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else . 
",1,get past fantastical aspects harsh realities isle youll get sockyouintheeye flick visual tourdeforce story unlike likely see anywhere else
"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises . 
",1,many misses hits ultimately finds humor foibles human behavior welcome return roots genre depend surprises
"a well-made thriller with a certain level of intelligence and non-reactionary morality . 
",1,wellmade thriller certain level intelligence nonreactionary morality
"there's enough science to make it count as educational , and enough beauty to make it unforgettable . 
",1,theres enough science make count educational enough beauty make unforgettable
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand . 
",1,remains solid somewhat heavyhanded account neardisaster done howard steady imaginative hand
"makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands . 
",1,makmalbaf follows resolutely realistic path uncompromising insight harsh existence kurdish refugees irans borderlands
"for a good chunk of its running time , trapped is an effective and claustrophobic thriller . 
",1,good chunk running time trapped effective claustrophobic thriller
"most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . 
",1,crush clever captivating romantic comedy welcome pinch tartness
"nair does capture the complexity of a big family and its trials and tribulations . . . 
",1,nair capture complexity big family trials tribulations
"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going . 
",1,seaside splendor shallow beautiful people nice look wait story get going
"rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie . 
",1,rare urban comedy even attempts insight honesty disarming indie
"ranks among willams' best screen work . 
",1,ranks among willams best screen work
"engagingly captures the maddening and magnetic ebb and flow of friendship . 
",1,engagingly captures maddening magnetic ebb flow friendship
"an experience so engrossing it is like being buried in a new environment . 
",1,experience engrossing like buried new environment
"it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit . 
",1,traditional moviemaking way done lot careful period attention well welcome wit
"thoroughly enjoyable . 
",1,thoroughly enjoyable
"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad . 
",1,maybe past year seen release worst film comedies decades honestly analyze really isnt bad
"a droll , well-acted , character-driven comedy with unexpected deposits of feeling . 
",1,droll wellacted characterdriven comedy unexpected deposits feeling
"this is simply the most fun you'll ever have with a documentary ! 
",1,simply fun youll ever documentary
"a very funny movie . 
",1,funny movie
"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting . 
",1,watching hanekes film aptly enough challenge punishment watching huppert great actress tearing landmark role riveting
"a cop story that understands the medium amazingly well . 
",1,cop story understands medium amazingly well
"one of the best , most understated performances of [jack nicholson's] career . 
",1,one best understated performances jack nicholsons career
"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . 
",1,britney delivered big screen safe sound way like 20yearold superstar girls travel fame freeway
"those outside show business will enjoy a close look at people they don't really want to know . 
",1,outside show business enjoy close look people dont really want know
"the kind of nervous film that will either give you a mild headache or exhilarate you . 
",1,kind nervous film either give mild headache exhilarate
"watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it . 
",1,watching beanie gang put together slasher video spare parts borrowed materials much fun must make
"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted . 
",1,children may understand everything happens im sure even miyazaki almost certainly fascinated undoubtedly delighted
"a fascinating and fun film . 
",1,fascinating fun film
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . 
",1,tadpole sophisticated funny goodnatured treat slight pleasure
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . 
",1,insightful oscarnominated documentary children sides everescalating conflict say away watchful parental eyes gives peace yet another chance
"i admired this work a lot . 
",1,admired work lot
"whether you're moved and love it , or bored or frustrated by the film , you'll still feel something . 
",1,whether youre moved love bored frustrated film youll still feel something
" . . . there are enough moments of heartbreaking honesty to keep one glued to the screen . 
",1,enough moments heartbreaking honesty keep one glued screen
"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back . 
",1,goodness queen latifah lot offer seemed problem flaunting natural gifts must strong back
"a smart , sweet and playful romantic comedy . 
",1,smart sweet playful romantic comedy
"australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation . 
",1,australian actordirector john polson awardwinning english cinematographer giles nuttgens make terrific effort disguising obvious energy innovation
"without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions . 
",1,without heavyhandedness dong provides perspective intelligent grasp human foibles contradictions
"solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts . 
",1,solid lumpinthethroat family entertainment derives power sticking facts
"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting . 
",1,entertainment movie keeps diverted best lightens wallet without leaving sting
